SEQPLT16,PSTATABB,PNAME,LAT,LON,PLPRMFL,NAMEPCAP,PLNGENAN,PLCO2EQA
3929,MA,Berkshire 1,42.114444,-73.405278,SUN,1.80,2513.00,0.00
3930,MA,Berkshire Power,42.047600,-72.647800,NG,289.00,822149.00,367693.82
3931,MA,Berkshire Wind Power Project,42.586667,-73.275000,WND,15.00,47017.00,0.00
3932,MA,Beverly,42.590000,-70.911944,SUN,2.00,3522.00,0.00
3933,MA,Big George PV,41.902312,-70.716128,SUN,1.00,0.00,0.00
3934,MA,Bird Machine Solar Farm,42.109564,-71.266743,SUN,4.90,0.00,0.00
3935,MA,BJ's Wholesale Club Inc- Uxbridge,42.019659,-71.604149,SUN,1.00,0.00,0.00
3936,MA,Blackstone,,,NG,0.00,0.00,0.00
3937,MA,BlueWave Capital - Grafton (SREC II),42.225492,-71.662651,SUN,1.30,1880.00,0.00
3938,MA,BlueWave Capital-Mattapoisett (SREC II),41.694255,-70.831132,SUN,4.50,0.00,0.00
3939,MA,Boatlock,42.208600,-72.601400,WAT,3.10,11197.00,0.00
3940,MA,Bolton PV,42.449722,-71.643056,SUN,4.90,8008.00,0.00
3941,MA,Boott Hydropower,42.652454,-71.322383,WAT,22.90,63146.00,0.00
3942,MA,Boston Medical Center CHP Plant,42.334651,-71.074171,NG,2.00,0.00,0.00
3943,MA,Boston Scientific Solar,42.293333,-71.033889,SUN,1.10,1603.00,0.00
3944,MA,Bourne (MA) - Holliston I,42.177876,-71.454633,SUN,2.90,3705.00,0.00
3945,MA,Braley Road 2,41.751667,-70.966944,SUN,2.70,4564.00,0.00
3946,MA,Brayton Point,41.710300,-71.193100,BIT,1610.90,1934073.00,2131475.94
3947,MA,Brewster Landfill,41.745556,-70.103056,SUN,1.00,1580.00,0.00
3948,MA,Bridgewater Solar,41.964116,-70.971931,SUN,2.30,3760.00,0.00
3949,MA,Brockelman,42.481389,-71.716944,SUN,3.00,5303.00,0.00
3950,MA,Brook Street Solar 1,41.955897,-70.786125,SUN,5.00,0.00,0.00
3951,MA,Brookfield Solar 2013 LLC,42.256090,-72.067877,SUN,2.00,3477.00,0.00
3952,MA,Browne Solar LLC,42.200833,-72.322222,SUN,1.40,1740.00,0.00
3953,MA,Bullock Road Solar 1,41.728936,-70.990453,SUN,3.90,0.00,0.00
3954,MA,BWC Swan Pond River,41.795599,-71.226628,SUN,1.60,3194.00,0.00
3955,MA,BWC Wading River One Two Three,42.085278,-71.526667,SUN,3.00,0.00,0.00
3956,MA,Cabot,42.587500,-72.579300,WAT,61.80,245978.00,0.00
3957,MA,Cabot Holyoke,42.200000,-72.610000,WAT,28.60,4915.00,0.00
3958,MA,Camelot Wind LLC,41.925278,-70.640000,WND,1.50,3083.00,0.00
3959,MA,Canal Station,41.769400,-70.509700,RFO,1825.00,52090.00,44112.28
3960,MA,Cape Cod Air Force Station - 6 SWS,41.752500,-70.538889,WND,3.40,8990.00,0.00
3961,MA,Carver MA 1,41.942796,-70.761140,SUN,2.00,1035.00,0.00
3962,MA,CED Westfield Solar LLC,42.175625,-72.755181,SUN,2.00,1062.00,0.00
3963,MA,Cedarville,41.802697,-70.549809,SUN,2.50,0.00,0.00
3964,MA,Centaurus Solar - MA,42.253000,-71.426000,SUN,2.40,0.00,0.00
3965,MA,CES Sterling LLC,42.441944,-71.722222,SUN,2.40,3411.00,0.00
3966,MA,Charlestown Wind Turbine,42.391389,-71.070833,WND,1.50,1933.00,0.00
3967,MA,Charlton Solar I,42.127500,-71.996389,SUN,4.40,5981.00,0.00
3968,MA,Chatham Landfill,41.686111,-70.006111,SUN,1.50,2498.00,0.00
3969,MA,Chemical,42.191900,-72.609700,WAT,1.60,3102.00,0.00
3970,MA,Cherry Street,42.388611,-71.560000,DFO,20.30,381.00,381.98
3971,MA,Chester Solar Farm,42.312000,-72.949000,SUN,4.80,7471.00,0.00
3972,MA,Chicopee Electric,42.174200,-72.531100,LFG,2.00,0.00,0.00
3973,MA,Chicopee Granby Road Solar,42.158056,-72.595833,SUN,1.60,2798.00,0.00
3974,MA,Chicopee Hydroelectric Station,42.159595,-72.582790,WAT,2.40,5845.00,0.00
3975,MA,Chicopee River Solar,42.150278,-72.552222,SUN,2.00,3367.00,0.00
3976,MA,Chicopee Solar,42.185556,-72.582500,SUN,3.00,5280.00,0.00
3977,MA,Chocksett Rd Energy Storage Project,42.451836,-71.737747,MWH,2.00,0.00,0.00
3978,MA,Clark University,42.250800,-71.822600,NG,4.00,8197.00,2809.80
3979,MA,Cleary Flood,41.865300,-71.106100,NG,146.30,77666.00,54711.17
3980,MA,Cobble Mountain,42.117112,-72.864663,WAT,33.00,11527.00,0.00
3981,MA,Collins Facility,42.156900,-72.422700,WAT,1.20,3262.00,0.00
3982,MA,Commercial Street,42.495833,-70.854722,DFO,1.10,0.00,0.00
3983,MA,Concord Solar Farm,42.444000,-71.335000,SUN,1.50,2160.00,0.00
3984,MA,Cosgrove Intake and Power Station,42.404390,-71.687218,WAT,3.20,2897.00,0.00
3985,MA,Cottage Street Solar Facility,42.145278,-72.538333,SUN,3.20,5051.00,0.00
3986,MA,Covanta Haverhill,42.765000,-71.124200,MSW,46.00,332378.00,276788.51
3987,MA,Curtis Hill Solar,42.175000,-71.986000,SUN,2.00,338.00,0.00
3988,MA,Dartmouth,41.676111,-70.996944,SUN,6.30,9477.00,0.00
3989,MA,Dartmouth II Solar,41.680556,-71.030833,SUN,2.00,3668.00,0.00
3990,MA,Dartmouth Landfill,41.581111,-70.998056,SUN,1.30,1895.00,0.00
3991,MA,Dartmouth Power,41.673100,-70.999400,NG,101.70,102267.00,53850.80
3992,MA,Dartmouth Solar,41.715804,-70.974448,SUN,1.60,2400.00,0.00
3993,MA,DDR Shoppers World,42.300745,-71.396228,SUN,1.30,0.00,0.00
3994,MA,Deer Island Treatment,42.353333,-70.962778,OBG,85.00,39773.02,1646.72
3995,MA,Deerfield 2,42.573084,-72.707274,WAT,4.80,22468.00,0.00
3996,MA,Deerfield 3,42.599500,-72.733500,WAT,4.80,19922.00,0.00
3997,MA,Deerfield 4,42.619800,-72.737600,WAT,4.80,15458.00,0.00
3998,MA,Deerfield 5,42.691180,-72.956100,WAT,17.50,37478.00,0.00
3999,MA,Deerfield Solar,42.562880,-72.589186,SUN,6.00,0.00,0.00
4000,MA,Dennis Landfill,41.693056,-70.145000,SUN,5.00,7625.00,0.00
4001,MA,Depot Hill Solar,42.153000,-71.988000,SUN,2.00,489.00,0.00
4002,MA,Dept of Corrections NCCI Wind,42.572222,-71.944722,WND,3.40,2208.00,0.00
4003,MA,Devens,42.559173,-71.625875,SUN,3.00,5015.00,0.00
4004,MA,Dighton,41.831200,-71.123900,NG,200.00,594216.00,281303.41
4005,MA,Dorchester Solar Site,42.300802,-71.047171,SUN,1.00,2518.00,0.00
4006,MA,Doreen,42.443300,-73.205800,DFO,21.10,292.00,525.66
4007,MA,Douglas Solar,42.060000,-71.730000,SUN,2.00,3484.00,0.00
4008,MA,Dwight,42.149497,-72.610949,WAT,1.20,1557.00,0.00
4009,MA,East Bridgewater,42.061900,-70.979400,LFG,6.00,0.00,0.00
4010,MA,Easthampton Landfill-City of Easthampton,42.286944,-72.701389,SUN,1.90,3057.00,0.00
